District,Winner,Margin of Victory,Total Vote,Top Opponent
Alabama District 1,Bradley Byrne,92.8%,"215,893",Write-in
Alabama District 2,Martha Roby,8.2%,"276,584",Nathan Mathis
Alabama District 3,Mike Rogers,34%,"287,104",Jesse Smith
Alabama District 4,Robert Aderholt,97.1%,"239,444",Write-in
Alabama District 5,Mo Brooks,33.5%,"308,326",Will Boyd
Alabama District 6,Gary Palmer,49.1%,"329,306",David Putman
Alabama District 7,Terri Sewell,96.8%,"233,028",Write-in
Alaska's At-Large District,Don Young,14.3%,"308,198",Steve Lindbeck
Arizona District 1,Tom O'Halleran,7.3%,"280,710",Paul Babeu
Arizona District 2,Martha McSally,13.9%,"315,679",Matt Heinz
Arizona District 3,Raul Grijalva,97.3%,"151,035",Write-in
Arizona District 4,Paul Gosar,42.9%,"284,783",Mikel Weisser
Arizona District 5,Andy Biggs,28.2%,"320,124",Talia Fuentes
Arizona District 6,David Schweikert,24.3%,"324,444",John Williamson
Arizona District 7,Ruben Gallego,50.5%,"158,811",Eve Nunez
Arizona District 8,Trent Franks,37.1%,"298,971",Mark Salazar
Arizona District 9,Kyrsten Sinema,21.9%,"277,507",Dave Giles
Arkansas District 1,Rick Crawford,52.6%,"241,047",Mark West
Arkansas District 2,French Hill,21.5%,"302,464",Dianne Curry
Arkansas District 3,Steve Womack,54.6%,"280,907",Steve Isaacson
Arkansas District 4,Bruce Westerman,49.8%,"244,159",Kerry Hicks
California District 10,Jeff Denham,3.4%,"241,141",Michael Eggman
California District 11,Mark DeSaulnier,44.1%,"298,209",Roger Petersen
California District 12,Nancy Pelosi,61.7%,"338,845",Preston Picus
California District 13,Barbara Lee,81.6%,"322,871",Sue Caro
California District 14,Jackie Speier,61.7%,"286,447",Angel Cardenas
California District 15,Eric Swalwell,47.5%,"269,197",Danny Turner
California District 16,Jim Costa,16.1%,"167,956",Johnny Tacherra
California District 17,Ro Khanna,22%,"233,192",Mike Honda
California District 18,Anna Eshoo,42.3%,"323,930",Richard Fox
California District 19,Zoe Lofgren,47.9%,"245,863",G. Burt Lancaster
